Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
6.793,-83.130,-83.051,-83.255,-83.231,-83.328,-83.215,-83.298,-83.380,-83.270,-83.279,-83.353,-83.273,-83.344,-83.087,-83.340,-83.142,-83.051,-82.672
6.893,-83.118,-83.148,-83.206,-83.151,-83.209,-83.118,-83.395,-83.310,-83.353,-83.374,-83.215,-83.249,-83.383,-83.093,-83.215,-83.240,-83.130,-82.703
6.993,-83.167,-83.075,-83.179,-83.240,-83.310,-83.182,-83.279,-83.353,-83.231,-83.417,-83.340,-83.362,-83.282,-83.182,-83.157,-83.334,-83.096,-82.767
7.093,-83.020,-83.112,-83.267,-83.127,-83.286,-83.057,-83.298,-83.356,-83.234,-83.279,-83.344,-83.295,-83.261,-83.096,-83.316,-83.231,-82.938,-82.773
7.193,-83.142,-83.176,-83.173,-83.188,-83.246,-83.142,-83.368,-83.273,-83.340,-83.347,-83.279,-83.243,-83.411,-83.054,-83.301,-83.136,-83.157,-82.736
7.293,-83.194,-83.026,-83.255,-83.218,-83.307,-83.182,-83.246,-83.377,-83.286,-83.356,-83.304,-83.344,-83.334,-83.160,-83.157,-83.264,-83.124,-82.687
7.393,-83.057,-83.167,-83.163,-83.151,-83.194,-83.118,-83.286,-83.340,-83.243,-83.316,-83.389,-83.295,-83.258,-83.212,-83.160,-83.350,-82.971,-82.666
7.493,-83.124,-83.118,-83.115,-83.209,-83.255,-83.237,-83.380,-83.289,-83.350,-83.371,-83.282,-83.234,-83.356,-83.084,-83.344,-83.218,-83.057,-82.782
7.592,-83.099,-83.035,-83.267,-83.246,-83.304,-83.182,-83.267,-83.408,-83.347,-83.389,-83.289,-83.282,-83.429,-83.078,-83.328,-83.249,-83.026,-82.697
7.692,-83.112,-83.118,-83.221,-83.200,-83.200,-83.109,-83.331,-83.325,-83.224,-83.304,-83.380,-83.322,-83.316,-83.157,-83.179,-83.261,-83.072,-82.785
7.792,-83.084,-83.002,-83.224,-83.246,-83.295,-83.206,-83.350,-83.243,-83.255,-83.298,-83.362,-83.310,-83.255,-83.212,-83.301,-83.203,-83.069,-82.666
7.892,-82.999,-83.026,-83.258,-83.157,-83.307,-83.112,-83.224,-83.353,-83.377,-83.356,-83.188,-83.301,-83.371,-83.063,-83.200,-83.261,-83.121,-82.770
7.992,-83.124,-83.029,-83.151,-83.185,-83.203,-83.041,-83.289,-83.328,-83.279,-83.295,-83.286,-83.307,-83.414,-83.151,-83.344,-83.249,-83.047,-82.724
8.092,-83.069,-82.938,-83.224,-83.252,-83.267,-83.176,-83.395,-83.279,-83.179,-83.295,-83.350,-83.350,-83.325,-83.081,-83.276,-83.215,-83.136,-82.666
8.192,-83.044,-83.026,-83.243,-83.136,-83.307,-83.148,-83.322,-83.356,-83.307,-83.353,-83.304,-83.353,-83.344,-83.170,-83.273,-83.286,-83.069,-82.758
8.292,-83.139,-82.999,-83.090,-83.145,-83.224,-83.096,-83.295,-83.405,-83.340,-83.337,-83.243,-83.282,-83.310,-83.133,-83.218,-83.200,-83.051,-82.739
