Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
8.691,-83.664,-83.661,-83.597,-83.408,-83.255,-83.386,-83.566,-83.658,-82.712,-83.374,-83.362,-83.725,-83.728,-83.548,-83.148,-82.974,-83.032,-83.044
8.791,-83.633,-83.554,-83.688,-83.496,-83.389,-83.533,-83.499,-83.682,-82.639,-83.267,-83.392,-83.667,-83.597,-83.530,-83.115,-83.035,-83.072,-83.102
8.891,-83.698,-83.655,-83.508,-83.420,-83.212,-83.484,-83.640,-83.676,-82.748,-83.359,-83.221,-83.755,-83.682,-83.487,-83.209,-83.102,-82.916,-83.127
8.991,-83.719,-83.667,-83.560,-83.524,-83.270,-83.569,-83.484,-83.588,-82.565,-83.289,-83.411,-83.667,-83.636,-83.563,-83.115,-83.002,-83.047,-83.078
9.091,-83.615,-83.640,-83.588,-83.502,-83.212,-83.463,-83.685,-83.707,-82.724,-83.398,-83.267,-83.658,-83.560,-83.490,-83.087,-83.170,-83.011,-83.173
9.191,-83.691,-83.658,-83.701,-83.508,-83.350,-83.511,-83.524,-83.606,-82.712,-83.429,-83.255,-83.670,-83.707,-83.514,-83.167,-83.136,-82.898,-83.112
9.291,-83.658,-83.566,-83.554,-83.398,-83.188,-83.432,-83.618,-83.640,-82.565,-83.273,-83.313,-83.591,-83.566,-83.548,-83.121,-83.075,-83.029,-82.974
9.391,-83.682,-83.682,-83.704,-83.496,-83.340,-83.521,-83.615,-83.600,-82.626,-83.347,-83.200,-83.707,-83.609,-83.456,-83.182,-83.163,-82.983,-83.109
9.491,-83.655,-83.658,-83.633,-83.411,-83.194,-83.453,-83.594,-83.661,-82.562,-83.237,-83.380,-83.694,-83.630,-83.566,-83.160,-83.057,-82.953,-83.081
9.590,-83.597,-83.728,-83.624,-83.536,-83.264,-83.487,-83.652,-83.649,-82.587,-83.386,-83.322,-83.615,-83.621,-83.563,-83.057,-83.063,-83.127,-83.032
9.690,-83.682,-83.487,-83.633,-83.420,-83.313,-83.447,-83.496,-83.566,-82.510,-83.340,-83.237,-83.704,-83.694,-83.524,-83.102,-83.224,-82.950,-83.109
9.790,-83.682,-83.670,-83.701,-83.560,-83.325,-83.411,-83.673,-83.682,-82.556,-83.228,-83.359,-83.633,-83.591,-83.615,-83.121,-83.093,-82.950,-83.130
9.890,-83.722,-83.640,-83.569,-83.432,-83.328,-83.533,-83.533,-83.536,-82.565,-83.365,-83.279,-83.682,-83.585,-83.398,-83.005,-83.026,-83.078,-83.041
