x,25pA,-25pA,-50pA,-75pA,-100pA,-125pA,-150pA,-175pA,-200pA
-0.30146,0.105217,0.0865329,0.0762319,0.0569384,0.0509938,0.0402899,0.0324041,0.0266304,0.0194966
-0.30073,0.102609,0.0865106,0.0761353,0.0569565,0.0509006,0.0403188,0.0325575,0.0268841,0.0197483
-0.3,0.1,0.0864883,0.0760386,0.0571014,0.0508075,0.0403478,0.032711,0.0271377,0.02
-0.29927,0.0973913,0.086466,0.075942,0.0572464,0.0507143,0.0403768,0.0328645,0.0273913,0.0202738
-0.29781,0.0984058,0.0864214,0.0757488,0.0575362,0.050528,0.0404348,0.0331714,0.027971,0.0208213
-0.29708,0.098913,0.0863991,0.0756522,0.0576812,0.0504348,0.0407609,0.0333248,0.0282609,0.021095
-0.29635,0.0994203,0.0863768,0.0756522,0.0578261,0.0505072,0.041087,0.0334783,0.0285507,0.0213688
-0.292701,0.101957,0.0862653,0.0756522,0.0585507,0.0508696,0.0427174,0.0344816,0.03,0.0227375
-0.291971,0.102464,0.086243,0.0756522,0.0586957,0.050942,0.0430435,0.0346823,0.0302536,0.0230113
-0.290511,0.103478,0.0861984,0.0756522,0.0589855,0.051087,0.0434783,0.0350836,0.0307609,0.0235588
-0.289781,0.103986,0.0861761,0.0756522,0.0591304,0.0511594,0.0436957,0.0352843,0.0310145,0.0238325
-0.286861,0.106014,0.086087,0.0756522,0.0595169,0.0514493,0.0445652,0.036087,0.032029,0.0249275
-0.283942,0.108043,0.086087,0.0756522,0.0599034,0.0517391,0.0454348,0.0371937,0.0330435,0.0260225
-0.283212,0.108551,0.086087,0.0756522,0.06,0.0518116,0.0456522,0.0374704,0.0332971,0.0262963
-0.281752,0.109565,0.086087,0.0756522,0.06,0.0519565,0.046087,0.0380237,0.0338043,0.0268438
-0.280292,0.109514,0.086087,0.0756522,0.06,0.0521014,0.046087,0.0385771,0.0343116,0.0273913
-0.279562,0.109488,0.086087,0.0756522,0.06,0.0521739,0.046087,0.0388538,0.0345652,0.0275826
-0.278832,0.109463,0.086087,0.0756522,0.06,0.0524224,0.046087,0.0391304,0.0348188,0.0277739
-0.277372,0.109412,0.086087,0.0756522,0.06,0.0529193,0.046087,0.0393168,0.0353261,0.0281565
-0.275182,0.109335,0.086087,0.0758581,0.06,0.0536646,0.046087,0.0395963,0.036087,0.0287304
-0.274453,0.109309,0.086087,0.0759268,0.06,0.053913,0.046087,0.0396894,0.036166,0.0289217
-0.269343,0.10913,0.086087,0.0764073,0.06,0.0551945,0.046087,0.0403416,0.0367194,0.0302609
-0.268613,0.109482,0.086087,0.076476,0.06,0.0553776,0.0463043,0.0404348,0.0367984,0.0304522
-0.267153,0.110186,0.086087,0.0766133,0.06,0.0557437,0.0467391,0.0406636,0.0369565,0.0308348
-0.263504,0.111946,0.086087,0.0769565,0.0602415,0.056659,0.0478261,0.0412357,0.0374582,0.0317913
-0.262044,0.11265,0.086087,0.077038,0.0603382,0.0570252,0.0482609,0.0414645,0.0376589,0.0321739
