Time S,1e-09 A
43.65436543654366,-0.07880469684071847
43.684368436843684,-0.07877677112750847
43.71437143714372,-0.07874864529295986
43.744374437443746,-0.07872031854363715
43.77437743774377,-0.07869179008464719
43.80438043804381,-0.07866305912244756
43.834383438343835,-0.07863412486782023
43.86438643864386,-0.0786049865382453
43.8943894389439,-0.07857564335986891
43.924392439243924,-0.078546094569653
43.95439543954396,-0.07851633941668734
43.984398439843986,-0.07848637716396553
44.01440144014401,-0.07845620708957549
44.04440444044405,-0.07842582848785443
44.074407440744075,-0.07839524067075129
44.10441044104411,-0.07836444296852094
44.13441344134414,-0.07833343473094603
44.164416441644164,-0.07830221532812862
44.1944194419442,-0.07827078415117689
44.224422442244226,-0.07823914061328949
44.25442544254426,-0.07820728415023856
44.28442844284428,-0.07817521422113666
44.314431443144315,-0.07814293030922784
44.34443444344434,-0.07811043192231246
44.37443744374438,-0.07807771859349774
44.40444044404441,-0.07804478988183841
44.43444344434443,-0.07801164537273522
44.464446444644466,-0.07797828467857948
44.49444944494449,-0.07794470743933793
44.52445244524453,-0.0779109133228866
44.55445544554456,-0.07787690202560513
44.58445844584458,-0.07784267327292324
44.61446144614462,-0.07780822681961089
44.644464446444644,-0.07777356245026662
44.67446744674468,-0.07773867997981043
44.704470447044706,-0.07770357925385235
44.73447344734473,-0.0776682601489915
44.76447644764477,-0.07763272257334511
44.794479447944795,-0.07759696646681669
44.82448244824483,-0.07756099180136261
44.85448544854486,-0.07752479858145506
44.884488448844884,-0.07748838684441003
44.91449144914492,-0.07745175666057824
44.944494449444946,-0.0774149081335849
44.97449744974497,-0.07737784140077836
45.004500450045,-0.0773405566333755
45.034503450345035,-0.0773030540366611
45.06450645064507,-0.07726533385020415
45.0945094509451,-0.07722739634819065
45.124512451245124,-0.07718924183952167
45.15451545154515,-0.07715087066795684
45.184518451845186,-0.0771122832122364
45.21452145214522,-0.07707347988638741
45.24452445244525,-0.07703446113974674
45.274527452745275,-0.07699522745704487
45.3045304530453,-0.07695577935847822
45.33453345334534,-0.07691611739985121
45.36453645364537,-0.07687624217263461
45.39453945394539,-0.076836154304005
45.424542454245426,-0.07679585445684117
45.45454545454545,-0.07675534332971604
45.48454845484549,-0.07671462165694279
45.51455145514552,-0.0766736902085155
45.54455445544554,-0.07663254979015857
45.57455745574558,-0.07659120124316102
45.604560456045604,-0.07654964544434054
45.63456345634564,-0.07650788330590141
45.664566456645666,-0.07646591577553696
45.69456945694569,-0.0764237438360848
45.72457245724573,-0.07638136850552069
45.754575457545755,-0.07633879083673265
45.78457845784579,-0.07629601191740498
45.81458145814581,-0.07625303286978516
45.844584458445844,-0.07620985485056586
45.87458745874588,-0.07616647905061708
45.904590459045906,-0.07612290669476951
45.93459345934594,-0.07607913904158303
45.96459645964596,-0.07603517738304169
45.994599459945995,-0.07599102304434427
46.02460246024603,-0.07594667738357735
46.05460546054606,-0.07590214179139826
46.084608460846084,-0.07585741769075413
46.11461146114611,-0.07581250653655527
46.144614461446146,-0.07576740981528271
46.17461746174618,-0.07572212904465606
46.20462046204621,-0.07567666577326804
46.234623462346235,-0.07563102158016907
46.26462646264626,-0.07558519807446334
46.2946294629463,-0.07553919689493346
46.324632463246324,-0.07549301970959191
46.35463546354636,-0.07544666821520993
46.384638463846386,-0.075400144136889
