Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
1196.3000488281,-49.4384765625,-48.5229492188,-39.6728515625,-41.8090820313,-36.62109375
1196.4000244141,-47.9125976563,-47.9125976563,-39.9780273438,-43.0297851563,-37.841796875
1196.5,-49.1333007813,-48.828125,-38.4521484375,-42.724609375,-35.400390625
1196.5999755859,-48.5229492188,-47.9125976563,-39.6728515625,-41.1987304688,-27.1606445313
1196.6999511719,-48.2177734375,-49.1333007813,-39.0625,-42.1142578125,-10.0708007813
1196.8000488281,-49.4384765625,-47.3022460938,-38.4521484375,-43.3349609375,15.869140625
1196.9000244141,-48.2177734375,-49.1333007813,-38.7573242188,-42.1142578125,30.8227539063
1197,-48.5229492188,-46.9970703125,-39.0625,-41.8090820313,28.6865234375
1197.0999755859,-48.2177734375,-48.828125,-40.283203125,-42.724609375,11.2915039063
1197.1999511719,-48.2177734375,-48.828125,-38.1469726563,-42.724609375,-4.2724609375
1197.3000488281,-48.5229492188,-48.5229492188,-38.4521484375,-40.5883789063,-20.4467773438
1197.4000244141,-47.607421875,-48.5229492188,-39.3676757813,-43.0297851563,-32.3486328125
1197.5,-47.9125976563,-47.9125976563,-38.7573242188,-41.1987304688,-40.8935546875
1197.5999755859,-47.3022460938,-48.5229492188,-38.7573242188,-41.50390625,-44.8608398438
1197.6999511719,-48.5229492188,-47.607421875,-38.4521484375,-43.0297851563,-47.9125976563
1197.8000488281,-48.2177734375,-48.828125,-38.7573242188,-41.1987304688,-50.9643554688
1197.9000244141,-47.9125976563,-48.828125,-38.7573242188,-42.724609375,-50.9643554688
1198,-49.1333007813,-47.607421875,-37.841796875,-41.50390625,-51.5747070313
1198.0999755859,-48.2177734375,-47.9125976563,-37.841796875,-40.8935546875,-51.26953125
1198.1999511719,-49.1333007813,-46.9970703125,-37.2314453125,-42.4194335938,-50.3540039063
1198.3000488281,-49.4384765625,-47.607421875,-37.841796875,-41.1987304688,-52.1850585938
1198.4000244141,-49.1333007813,-46.9970703125,-37.2314453125,-41.8090820313,-51.26953125
1198.5,-48.2177734375,-47.9125976563,-38.4521484375,-41.1987304688,-50.9643554688
1198.5999755859,-49.1333007813,-48.5229492188,-37.2314453125,-41.8090820313,-50.9643554688
1198.6999511719,-49.7436523438,-46.38671875,-37.841796875,-42.4194335938,-50.3540039063
1198.8000488281,-48.5229492188,-48.2177734375,-38.4521484375,-40.8935546875,-50.9643554688
1198.9000244141,-48.5229492188,-46.6918945313,-37.841796875,-41.1987304688,-50.048828125
1199,-47.607421875,-47.607421875,-36.9262695313,-41.1987304688,-50.3540039063
